variable_name,pressure,temperature,wind_speed,wind_speed,wind_speed
height,0,2,10,50,150
2021-01-01  00:00:00,99140.0,273.72999999999996,2.28,4.15,3.9
2021-01-01  01:00:00,99100.0,273.56,2.17,3.83,3.76
2021-01-01  02:00:00,99080.0,273.28999999999996,2.06,3.52,3.61
2021-01-01  03:00:00,99080.0,273.09,1.99,3.21,3.54
2021-01-01  04:00:00,99080.0,272.90999999999997,1.69,2.77,3.07
2021-01-01  05:00:00,99080.0,272.76,1.47,2.28,2.76
2021-01-01  06:00:00,99070.0,272.39,1.4,2.2,2.63
2021-01-01  07:00:00,99060.0,271.95,1.53,2.54,2.83
2021-01-01  08:00:00,99060.0,271.53,1.76,3.0,3.17
2021-01-01  09:00:00,99070.0,272.38,2.24,3.26,3.99
2021-01-01  10:00:00,99070.0,273.54999999999995,2.62,3.2,4.67
2021-01-01  11:00:00,99040.0,274.7,2.78,3.44,4.91
2021-01-01  12:00:00,98980.0,275.47999999999996,2.9,3.53,5.08
2021-01-01  13:00:00,98910.0,275.77,2.81,3.63,4.9
2021-01-01  14:00:00,98860.0,275.12,2.18,3.98,3.76
2021-01-01  15:00:00,98840.0,272.95,2.52,4.99,4.2
2021-01-01  16:00:00,98820.0,271.31,3.01,6.11,4.87
2021-01-01  17:00:00,98820.0,271.38,3.29,6.63,5.25
2021-01-01  18:00:00,98820.0,271.40999999999997,3.4,6.92,5.39
2021-01-01  19:00:00,98800.0,271.44,3.54,7.23,5.58
2021-01-01  20:00:00,98780.0,271.44,3.72,7.5,5.83
2021-01-01  21:00:00,98740.0,271.38,3.86,7.66,6.03
2021-01-01  22:00:00,98710.0,271.27,3.94,7.62,6.16
2021-01-01  23:00:00,98700.0,271.04999999999995,3.87,7.38,6.08
2021-01-02  00:00:00,98680.0,270.84,3.64,6.99,5.77
2021-01-02  01:00:00,98660.0,270.67999999999995,3.35,6.56,5.36
2021-01-02  02:00:00,98650.0,270.59,3.15,6.22,5.08
2021-01-02  03:00:00,98610.0,270.52,3.1,6.03,5.02
2021-01-02  04:00:00,98580.0,270.45,3.11,5.91,5.06
2021-01-02  05:00:00,98530.0,270.46999999999997,3.35,5.97,5.44
2021-01-02  06:00:00,98510.0,270.39,3.53,6.1,5.7
2021-01-02  07:00:00,98500.0,270.21,3.71,6.25,5.98
2021-01-02  08:00:00,98490.0,269.96999999999997,3.9,6.31,6.27
2021-01-02  09:00:00,98500.0,270.71,4.59,6.16,7.41
2021-01-02  10:00:00,98480.0,271.84999999999997,5.0,6.13,8.07
2021-01-02  11:00:00,98420.0,273.01,5.6,7.02,8.86
2021-01-02  12:00:00,98350.0,273.87,5.83,7.28,9.18
