-BEGIN HEADER-,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,,
Location: Latitude  51.4919   Longitude 10.8757 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 357.57 meters,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
PS        MERRA-2 Surface Pressure (kPa) ,,,,,,,,
T2M       MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) ,,,,,,,,
Message(s): ,,,,,,,,
Corrected Wind Speed has a custom surface implemented: Airport: flat rough grass (airportgrass) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,HR,PS,T2M,WS10M,WS50M,WSC
2021,1,1,0,99.14,0.58,2.28,4.15,3.9
2021,1,1,1,99.1,0.41,2.17,3.83,3.76
2021,1,1,2,99.08,0.14,2.06,3.52,3.61
2021,1,1,3,99.08,-0.06,1.99,3.21,3.54
2021,1,1,4,99.08,-0.24,1.69,2.77,3.07
2021,1,1,5,99.08,-0.39,1.47,2.28,2.76
2021,1,1,6,99.07,-0.76,1.4,2.2,2.63
2021,1,1,7,99.06,-1.2,1.53,2.54,2.83
2021,1,1,8,99.06,-1.62,1.76,3,3.17
2021,1,1,9,99.07,-0.77,2.24,3.26,3.99
2021,1,1,10,99.07,0.4,2.62,3.2,4.67
2021,1,1,11,99.04,1.55,2.78,3.44,4.91
2021,1,1,12,98.98,2.33,2.9,3.53,5.08
2021,1,1,13,98.91,2.62,2.81,3.63,4.9
2021,1,1,14,98.86,1.97,2.18,3.98,3.76
2021,1,1,15,98.84,-0.2,2.52,4.99,4.2
2021,1,1,16,98.82,-1.84,3.01,6.11,4.87
2021,1,1,17,98.82,-1.77,3.29,6.63,5.25
2021,1,1,18,98.82,-1.74,3.4,6.92,5.39
2021,1,1,19,98.8,-1.71,3.54,7.23,5.58
2021,1,1,20,98.78,-1.71,3.72,7.5,5.83
2021,1,1,21,98.74,-1.77,3.86,7.66,6.03
2021,1,1,22,98.71,-1.88,3.94,7.62,6.16
2021,1,1,23,98.7,-2.1,3.87,7.38,6.08
2021,1,2,0,98.68,-2.31,3.64,6.99,5.77
2021,1,2,1,98.66,-2.47,3.35,6.56,5.36
2021,1,2,2,98.65,-2.56,3.15,6.22,5.08
2021,1,2,3,98.61,-2.63,3.1,6.03,5.02
