,pressure,temperature,wind_speed,wind_speed,wind_speed,temperature,roughness_length,power_output
,0,2,10,50,150,122,0,
2021-01-01  00:00:00,99140.0,273.73,2.28,4.15,3.9,272.95000000000005,0.15,1551912.3880044047
2021-01-01  01:00:00,99100.0,273.56,2.17,3.83,3.76,272.78000000000003,0.15,1401771.1593439947
2021-01-01  02:00:00,99080.0,273.29,2.06,3.52,3.61,272.51000000000005,0.15,1229911.744128704
2021-01-01  03:00:00,99080.0,273.09,1.99,3.21,3.54,272.31,0.15,1148600.5009496913
2021-01-01  04:00:00,99080.0,272.91,1.69,2.77,3.07,272.13000000000005,0.15,623996.2388113879
2021-01-01  05:00:00,99080.0,272.76,1.47,2.28,2.76,271.98,0.15,442550.1384257494
2021-01-01  06:00:00,99070.0,272.39,1.4,2.2,2.63,271.61,0.15,366456.884856506
2021-01-01  07:00:00,99060.0,271.95,1.53,2.54,2.83,271.17,0.15,483522.7245174358
2021-01-01  08:00:00,99060.0,271.53,1.76,3.0,3.17,270.75,0.15,715511.3655766464
2021-01-01  09:00:00,99070.0,272.38,2.24,3.26,3.99,271.6,0.15,1656729.473612998
2021-01-01  10:00:00,99070.0,273.54999999999995,2.62,3.2,4.67,272.77,0.15,2770605.1399524077
2021-01-01  11:00:00,99040.0,274.7,2.78,3.44,4.91,273.92,0.15,3288055.670257045
2021-01-01  12:00:00,98980.0,275.48,2.9,3.53,5.08,274.70000000000005,0.15,3658180.2186330925
2021-01-01  13:00:00,98910.0,275.77,2.81,3.63,4.9,274.99,0.15,3266552.49723732
2021-01-01  14:00:00,98860.0,275.12,2.18,3.98,3.76,274.34000000000003,0.15,1401771.1593439947
2021-01-01  15:00:00,98840.0,272.95,2.52,4.99,4.2,272.17,0.15,1886786.0320718894
2021-01-01  16:00:00,98820.0,271.31,3.01,6.11,4.87,270.53000000000003,0.15,3202019.2034052485
2021-01-01  17:00:00,98820.0,271.38,3.29,6.63,5.25,270.6,0.15,4030215.758706309
2021-01-01  18:00:00,98820.0,271.41,3.4,6.92,5.39,270.63000000000005,0.15,4334936.208326987
2021-01-01  19:00:00,98800.0,271.44,3.54,7.23,5.58,270.66,0.15,4880153.846661652
2021-01-01  20:00:00,98780.0,271.44,3.72,7.5,5.83,270.66,0.15,5747058.549277142
2021-01-01  21:00:00,98740.0,271.38,3.86,7.66,6.03,270.6,0.15,6447840.854492231
2021-01-01  22:00:00,98710.0,271.27,3.94,7.62,6.16,270.49,0.15,6903648.913136091
2021-01-01  23:00:00,98700.0,271.04999999999995,3.87,7.38,6.08,270.27,0.15,6622810.877367657
2021-01-02  00:00:00,98680.0,270.84,3.64,6.99,5.77,270.06,0.15,5536500.634049168
2021-01-02  01:00:00,98660.0,270.67999999999995,3.35,6.56,5.36,269.9,0.15,4269679.769771488
2021-01-02  02:00:00,98650.0,270.59,3.15,6.22,5.08,269.81,0.15,3658180.2186330925
2021-01-02  03:00:00,98610.0,270.52,3.1,6.03,5.02,269.74,0.15,3526661.2178892866
2021-01-02  04:00:00,98580.0,270.45,3.11,5.91,5.06,269.67,0.15,3614349.671176818
2021-01-02  05:00:00,98530.0,270.47,3.35,5.97,5.44,269.69000000000005,0.15,4443647.483920779
2021-01-02  06:00:00,98510.0,270.39,3.53,6.1,5.7,269.61,0.15,5291327.467102233
2021-01-02  07:00:00,98500.0,270.21,3.71,6.25,5.98,269.43,0.15,6272862.677564009
2021-01-02  08:00:00,98490.0,269.97,3.9,6.31,6.27,269.19000000000005,0.15,7291021.643991327
2021-01-02  09:00:00,98500.0,270.71,4.59,6.16,7.41,269.93,0.15,12673111.055920988
2021-01-02  10:00:00,98480.0,271.85,5.0,6.13,8.07,271.07000000000005,0.15,16706137.635908432
2021-01-02  11:00:00,98420.0,273.01,5.6,7.02,8.86,272.23,0.15,22019176.863804173
2021-01-02  12:00:00,98350.0,273.87,5.83,7.28,9.18,273.09000000000003,0.15,24260364.15359608
2021-01-02  13:00:00,98260.0,274.26,5.89,7.5,9.24,273.48,0.15,24681618.45181592
2021-01-02  14:00:00,98200.0,274.09,5.24,6.94,8.31,273.31,0.15,18278519.34431497
2021-01-02  15:00:00,98160.0,273.0,4.24,6.89,6.73,272.22,0.15,9176810.738094803
2021-01-02  16:00:00,98160.0,271.73,4.23,7.51,6.62,270.95000000000005,0.15,8617827.804852286
2021-01-02  17:00:00,98170.0,271.54999999999995,4.85,7.78,7.56,270.77,0.15,13461663.621061523
2021-01-02  18:00:00,98170.0,271.7,5.21,7.69,8.13,270.92,0.15,17097725.552852653
2021-01-02  19:00:00,98150.0,272.26,5.41,7.5,8.47,271.48,0.15,19340551.50809659
2021-01-02  20:00:00,98120.0,272.79999999999995,5.4,7.43,8.47,272.02,0.15,19340551.50809659
2021-01-02  21:00:00,98080.0,273.13,5.39,7.36,8.47,272.35,0.15,19340551.50809659
2021-01-02  22:00:00,98060.0,273.31,5.31,7.45,8.33,272.53000000000003,0.15,18409843.716853447
2021-01-02  23:00:00,98030.0,273.38,5.46,7.77,8.51,272.6,0.15,19606827.108142175
2021-01-03  00:00:00,97970.0,273.41,5.83,8.53,8.97,272.63000000000005,0.15,22788488.473969325
